guid,title
9025,George Foreman's KO Boxing
12245,Ghostbusters
9032,Ghostbusters II
9029,Ghost Lion
11992,Ghosts 'n Goblins
9033,Ghoul School
12240,G.I. Joe: A Real American Hero
9034,GI Joe The Atlantis Factor
12247,Gilligan's Island
12248,Goal
9039,Goal 2
12249,Godzilla
9042,Godzilla 2 War of the Monsters
9045,Gold Medal Challenge '92
9050,Golf
9051,Golf Grand Slam
12250,Golgo 13 Top Secret Episode
12251,Gotcha
11993,Gradius
9063,Great Waldo Search
9068,Greg Norman's Golf Power
12252,Gremlins 2
12253,Guerrilla War
12254,Gumshoe
12255,Gun-Nac
12256,Gun.Smoke
12257,Gyromite
12258,Gyruss
16172,Hammerin Harry PAL
12259,Harlem Globetrotters
9097,Hatris
12260,Heavy Barrel
12261,Heavy Shreddin'
21045,HES Real Player's Pack
9109,High Speed
9113,Hit the Ice
12262,Hogan's Alley
9115,Hollywood Squares
9117,Home Alone
9119,Home Alone 2 Lost In New York
30819,Honey Peach
9121,Hook
12263,Hoops
14931,Hot Slots
9132,Hudson Hawk
9133,Hunt for Red October
12264,Hydlide
11994,Ice Climber
11995,Ice Hockey
12265,Ikari Warriors
12266,Ikari Warriors II
12267,Ikari Warriors III: The Rescue
12268,Image Fight
9138,Immortal
12269,Impossible Mission II
9143,Incredible Crash Dummies
12270,Indiana Jones and the Last Crusade
30748,Indiana Jones and the Last Crusade Ubisoft
12271,Indiana Jones and the Temple of Doom
12272,Infiltrator
12274,Iron Sword Wizards and Warriors II
12273,Iron Tank
12275,Isolated Warrior
12276,Jackal
12277,Jackie Chan's Action Kung FU
9155,Jack Nicklaus Golf
9161,James Bond Jr
12278,Jaws
9169,Jeopardy
9170,Jeopardy 25th Anniversary
9172,Jeopardy Jr
9176,Jetsons Cogswell's Caper
9177,Jimmy Connors Tennis
9179,Joe and Mac
12279,John Elway's Quarterback Challenge
12280,Jordan vs Bird One on One
12281,Joshua: The Battle of Jericho
12282,Journey to Silius
12283,Joust
9190,Jurassic Park
12284,Kabuki Quantum Fighter
12285,Karate Champ
12286,Karnov
12287,Kickle Cubicle
9204,Kick Master
11996,Kid Icarus
9205,Kid Klown in Night Mayor World
12288,Kid Kool
12289,Kid Niki Radical Ninja
16437,King Neptune's Adventure
12290,King of Kings
9212,King's Knight
12292,Kings of the Beach
12291,King's Quest V
9213,Kirby's Adventure
12293,Kiwi Kraze
12294,Klashball
12295,Klax
12296,Knight Rider
12297,Krazy Kreatures
12298,Krion Conquest
9217,Krusty's Fun House
12299,Kung Fu
9219,Kung Fu 2
12300,Kung Fu Heroes
9222,Laser Invasion
19472,Laserscope
9224,Last Action Hero
12301,Last Starfighter
12302,Lee Trevino's Fighting Golf
12303,Legacy of the Wizard
12304,Legendary Wings
11997,Legend of Kage
9236,Legend of Zelda
12305,Legends of the Diamond
9240,Lemmings
9242,L'Empereur
9245,Lethal Weapon
12306,Life Force
12307,Linus Spacehead Cosmic Adventure
12308,Little League Baseball
9248,Little Mermaid
9249,Little Nemo The Dream Master
12309,Little Ninja Brothers
21862,Little Red Hood
