uid,Product Name,Genre,UPC,ASIN,Release Date,Publisher,Sell Game Price,Sell Complete Price
11982,Baseball,Baseball,45496630096,B000MAXOEW,10/1/85,,1.99,4.99
13843,Baseball Simulator 1.000,Baseball,47743890031,B00004SVN3,1/1/90,Culture Brain,2.99,6
12198,Baseball Stars,Baseball,18484205002,B000BL5TJK,7/1/89,SNK,5.99,9
8562,Baseball Stars 2,Baseball,95474210109,B00004SVN4,12/1/92,Romstar,12.99,18
8564,Bases Loaded,Baseball,32264900017,B000AL5C2A,12/1/88,Jaleco,1.99,4.99
8565,Bases Loaded 2 Second Season,Baseball,32264900079,B00004SVN5,12/1/90,Jaleco,1.99,4.99
12199,Bases Loaded 3,Baseball,32264900208,B00004SVN6,5/1/95,Jaleco,1.99,4.99
8566,Bases Loaded 4,Baseball,32264900277,B00004SVN7,12/1/93,Jaleco,15.99,21
8570,Batman Beyond Return Of The Joker,Action & Adventure,20763110204,B00004SVTV,12/1/91,Sunsoft,17.99,24
8574,Batman Returns,Action & Adventure,83717110323,B00004SVN9,1/1/93,Konami,5.99,9
13844,Batman The Video Game,Action & Adventure,20763110099,B0006TNCCI,2/1/90,Nintendo,4.99,8
12200,Battle Chess,Strategy,4.7311E+11,B000B6DZX2,1/1/90,Electronic Arts,1.99,4.99
12201,Battle of Olympus,Action & Adventure,47956154401,B000G1MAXS,1/1/89,Nintendo,5.99,9
8582,Battleship,Strategy,50047111399,B00004SVNA,12/1/93,Mindscape,9.99,14
12202,Battletank,Action & Adventure,47875700048,B000KBD6TG,1/1/90,Nintendo,2.99,6
8586,Battletoads,Action & Adventure,31719199112,B00004SVNB,6/1/91,Midway Entertainment,20.99,28
8588,Battletoads and Double Dragon,Action & Adventure,31719199242,B00004SVNC,12/1/93,Midway Entertainment,41.99,52
8593,Beauty and the Beast,Action & Adventure,39854000270,B00004SVNE,3/1/94,Hudson Soft,103.99,126
12203,Bee 52,Action & Adventure,69667074113,B0007SMQB6,,Camerica,7.99,12
12204,BeetleJuice,Action & Adventure,23582051635,B00004SVNF,5/1/91,LJN,6.99,11
8600,Best of the Best Championship Karate,Fighting,99451024888,B00004SVNG,12/1/92,Electro Brain Corp.,12.99,17
8603,Bible Adventures,Action & Adventure,16315220019,B0002ZVMMI,,,7.99,12
12205,Bible Buffet,Other,9.7899E+11,B0028H59FY,,,44.99,56
12206,Bigfoot,Action & Adventure,21481103042,B00004SVNI,1/1/90,,1.99,4.99
12106,Big Nose Freaks Out,Action & Adventure,,B000BYIKXO,,Codemasters,36.99,46
16129,Big Nose the Caveman,Action & Adventure,69667074014,B000EURIKQ,,ConnectPro,8.99,13
8606,Bill and Ted's Excellent Video Game,Action & Adventure,23582051697,B00004SVNJ,12/1/91,LJN,1.99,4.99
8607,Bill Elliott's NASCAR Challenge,Racing,83717140023,B00004TMOE,1/1/91,Konami,3.99,6
12107,Bionic Commando,Action & Adventure,13388110087,B00004SVNL,12/1/88,Capcom,4.99,8
12108,Black Bass,Sports,93455100012,B00004SVNM,1/1/89,Hot B USA Inc,2.99,5
12109,Blackjack,Other,7.21619E+11,B001MI0EWS,,,28.99,36
8614,Blades of Steel,Sports,83717112501,B000KJF7YA,12/1/88,Konami,1.99,5
12110,Blaster Master,Action & Adventure,1.10068E+11,B000E7BS8M,11/1/88,Sunsoft,3.99,7
8625,Blue Marlin,Sports,93455100098,B00004SVNN,6/1/92,Hot B USA Inc,7.99,12
8627,Blues Brothers,Action & Adventure,91493341596,B001V39402,9/1/92,,13.99,18
8628,Bo Jackson Baseball,Baseball,13252002210,B00004SVNO,12/1/91,Data East,3.99,7
12111,Bomberman,Action & Adventure,39854000034,B000BTD88Q,1/1/87,Hudson Soft,12.99,17
8632,Bomberman II,Puzzle,39854000188,B00004SVNP,5/1/92,Hudson Soft,62.99,77
8636,Bonk's Adventure,Action & Adventure,39854000393,B00004SVNQ,12/1/94,Hudson Soft,334.99,400
12112,Boulder Dash,Action & Adventure,9119313490,B000H3EW7W,6/1/90,JVC,4.99,8
8643,Bram Stoker's Dracula,Action & Adventure,90451101067,B00004SVP4,12/1/93,Sony,13.99,18
12113,BreakThru,Puzzle,13252002081,B000SQKOO8,6/1/94,Data East,1.99,4.99
8645,Break Time The National Pool Tour,Sports,22909100179,B00004SVNR,12/1/93,FCI,4.99,8
14930,Bubble Bath Babes,Action & Adventure,,,,,1364.99,1627
11983,Bubble Bobble,Action & Adventure,20588010062,B00004SVNS,11/1/88,Taito,13.99,19
8654,Bubble Bobble Part 2,Action & Adventure,20588010703,B00004SVNT,12/1/93,Taito,291.99,350
8658,Bucky O'Hare,Action & Adventure,83717110293,B00004SVNU,12/1/92,Konami,34.99,44
8661,Bugs Bunny Birthday Blowout,Action & Adventure,44499000103,B0002VFXVI,1/1/90,,2.99,6
8662,Bugs Bunny Crazy Castle,Action & Adventure,44499000066,B00004SVNV,7/1/89,SEIKA VIDEO GAMES,5.99,9
12114,Bump 'n' Jump,Action & Adventure,34912784581,B00004SVNW,1/1/88,"Vic Tokai, Inc.",1.99,4.99
12115,Burai Fighter,Fighting,,B000LQHXCQ,3/1/90,Taxan,3.99,6
12116,Burgertime,Puzzle,13252002043,B0003OS078,5/1/87,Data East,5.99,9
8673,Buster Bros,Action & Adventure,39854000386,B00004SVNX,,Hudson Soft,23.99,30
12117,Cabal,Action & Adventure,32244040894,B0019QAIMO,6/1/90,,3.99,6
8683,Caesar's Palace,Sports,52145800090,B00004SVNY,12/1/92,Virgin,1.99,4.99
12118,California Games,Sports,,B000E7H7AK,6/1/89,EPYX,3.99,7
8687,California Raisins The Great Escape,Action & Adventure,13388110179,,4/1/90,,37.99,47
14928,Caltron 6-in-1,Action & Adventure,7.42E+11,B003N0COZ8,,,319.99,383
8695,Captain America and the Avengers,Action & Adventure,13252002241,B00004SVNZ,12/1/91,Data East,13.99,19
8696,Captain Planet and the Planeteers,Action & Adventure,50047110057,B00004SVXI,12/1/91,Mindscape,5.99,9
12120,Captain Skyhawk,Action & Adventure,32244040924,B00004SVO0,6/1/90,Parker Brothers,1.99,4.99
12121,Casino Kid,Other,6527731069,B000E7H7RI,10/1/89,Nintendo,1.99,4.99
8701,Casino Kid II,Other,93295921013,B00004SVO1,12/1/93,Sofel,34.99,43
8702,Castelian,Action & Adventure,7.26268E+11,B00004SVXJ,12/1/91,Triffix,8.99,13
12122,Castle of Deceit,Action & Adventure,,B003LZVSZW,,,70.99,87
12123,Castle of Dragon,Action & Adventure,92826890026,B00004SVXK,,Seta USA,3.99,6
12124,Castlequest,Action & Adventure,93992010003,B0016J65PS,,,1.99,5
8704,Castlevania,Action & Adventure,83717110040,B00005AV8W,5/1/87,Konami,18.99,24
8706,Castlevania III Dracula's Curse,Action & Adventure,83717110217,B00004SVO2,9/1/90,,16.99,23
11984,Castlevania II Simon's Quest,Action & Adventure,7.81317E+11,B000A4T1U6,12/1/88,Konami,5.99,9
12126,Caveman Games,Party,13252002173,B00004SVO3,10/1/90,Data East,2.99,6
16130,Challenge of the Dragon,Action & Adventure,,,,,93.99,114
8713,Championship Bowling,Sports,95474110102,B00004SVO6,12/1/89,Romstar,1.99,4.99
8714,Championship Pool,Sports,50047113669,B00004SVO5,12/1/93,Mindscape,7.99,12
16135,Championship Rally,Racing,,,,,93.99,114
14927,Cheetahmen II,Action & Adventure,7.30669E+11,B001M06HFE,,,1382.99,1648
8722,Chessmaster,Strategy,87855000508,B00004SVO7,1/1/90,Hi-Tech Expr.,1.99,4.99
8729,Chiller,Action & Adventure,84895000017,B000E7BYNQ,6/1/86,AGIC,54.99,67
12127,Chip and Dale Rescue Rangers,Action & Adventure,13388110209,B00004SVTT,6/1/90,Capcom,8.99,12
8730,Chip and Dale Rescue Rangers 2,Action & Adventure,13388110346,B00004SVTU,2/1/94,Capcom,114.99,139
12128,Chubby Cherub,Action & Adventure,7.8455E+11,B000E7DS6C,1/1/86,Zedocon,32.99,41
12129,Circus Caper,Action & Adventure,91199001114,B000GAONP2,,TOHO Video Games,2.99,5
12130,City Connection,Action & Adventure,32264900024,B00004SVO8,5/1/88,Jaleco,1.99,5
12131,Clash at Demonhead,Action & Adventure,34912784550,B00004SVO9,1/1/89,"Vic Tokai, Inc.",9.99,14
12132,Classic Concentration,Action & Adventure,51871023582,B000E7BYVS,1/1/90,GameTek,2.99,6
8738,Cliffhanger,Action & Adventure,90451106031,B00004SVOB,6/1/93,Sony,11.99,17
12133,Clu Clu Land,Action & Adventure,2.33182E+11,B000E7BYKY,10/1/85,Nintendo,11.99,16
12134,Cobra Command,Action & Adventure,13252002104,B000MAXTLA,1/1/88,Data East,3.99,6
8743,Cobra Triangle,Action & Adventure,74299063527,B0006TNCWS,7/1/89,,1.99,4.99
