guid,title,ASIN,Cart Price,Complete Price,Genre,UPC,Publisher,Release Date
11982,Baseball,B000MAXOEW,1.99,4.99,Baseball,45496630096,,10/1/85
13843,Baseball Simulator 1.000,B00004SVN3,2.99,6,Baseball,47743890031,Culture Brain,1/1/90
12198,Baseball Stars,B000BL5TJK,5.99,9,Baseball,18484205002,SNK,7/1/89
8562,Baseball Stars 2,B00004SVN4,12.99,18,Baseball,95474210109,Romstar,12/1/92
8564,Bases Loaded,B000AL5C2A,1.99,4.99,Baseball,32264900017,Jaleco,12/1/88
8565,Bases Loaded 2 Second Season,B00004SVN5,1.99,4.99,Baseball,32264900079,Jaleco,12/1/90
12199,Bases Loaded 3,B00004SVN6,1.99,4.99,Baseball,32264900208,Jaleco,5/1/95
8566,Bases Loaded 4,B00004SVN7,15.99,21,Baseball,32264900277,Jaleco,12/1/93
8570,Batman Beyond Return Of The Joker,B00004SVTV,17.99,24,Action & Adventure,20763110204,Sunsoft,12/1/91
8574,Batman Returns,B00004SVN9,5.99,9,Action & Adventure,83717110323,Konami,1/1/93
13844,Batman The Video Game,B0006TNCCI,4.99,8,Action & Adventure,20763110099,Nintendo,2/1/90
12200,Battle Chess,B000B6DZX2,1.99,4.99,Strategy,4.7311E+11,Electronic Arts,1/1/90
12201,Battle of Olympus,B000G1MAXS,5.99,9,Action & Adventure,47956154401,Nintendo,1/1/89
8582,Battleship,B00004SVNA,9.99,14,Strategy,50047111399,Mindscape,12/1/93
12202,Battletank,B000KBD6TG,2.99,6,Action & Adventure,47875700048,Nintendo,1/1/90
8586,Battletoads,B00004SVNB,20.99,28,Action & Adventure,31719199112,Midway Entertainment,6/1/91
8588,Battletoads and Double Dragon,B00004SVNC,41.99,52,Action & Adventure,31719199242,Midway Entertainment,12/1/93
8593,Beauty and the Beast,B00004SVNE,103.99,126,Action & Adventure,39854000270,Hudson Soft,3/1/94
12203,Bee 52,B0007SMQB6,7.99,12,Action & Adventure,69667074113,Camerica,
12204,BeetleJuice,B00004SVNF,6.99,11,Action & Adventure,23582051635,LJN,5/1/91
8600,Best of the Best Championship Karate,B00004SVNG,12.99,17,Fighting,99451024888,Electro Brain Corp.,12/1/92
8603,Bible Adventures,B0002ZVMMI,7.99,12,Action & Adventure,16315220019,,
12205,Bible Buffet,B0028H59FY,44.99,56,Other,9.7899E+11,,
12206,Bigfoot,B00004SVNI,1.99,4.99,Action & Adventure,21481103042,,1/1/90
12106,Big Nose Freaks Out,B000BYIKXO,36.99,46,Action & Adventure,,Codemasters,
16129,Big Nose the Caveman,B000EURIKQ,8.99,13,Action & Adventure,69667074014,ConnectPro,
8606,Bill and Ted's Excellent Video Game,B00004SVNJ,1.99,4.99,Action & Adventure,23582051697,LJN,12/1/91
8607,Bill Elliott's NASCAR Challenge,B00004TMOE,3.99,6,Racing,83717140023,Konami,1/1/91
12107,Bionic Commando,B00004SVNL,4.99,8,Action & Adventure,13388110087,Capcom,12/1/88
12108,Black Bass,B00004SVNM,2.99,5,Sports,93455100012,Hot B USA Inc,1/1/89
12109,Blackjack,B001MI0EWS,28.99,36,Other,7.21619E+11,,
8614,Blades of Steel,B000KJF7YA,1.99,5,Sports,83717112501,Konami,12/1/88
12110,Blaster Master,B000E7BS8M,3.99,7,Action & Adventure,1.10068E+11,Sunsoft,11/1/88
8625,Blue Marlin,B00004SVNN,7.99,12,Sports,93455100098,Hot B USA Inc,6/1/92
8627,Blues Brothers,B001V39402,13.99,18,Action & Adventure,91493341596,,9/1/92
8628,Bo Jackson Baseball,B00004SVNO,3.99,7,Baseball,13252002210,Data East,12/1/91
12111,Bomberman,B000BTD88Q,12.99,17,Action & Adventure,39854000034,Hudson Soft,1/1/87
8632,Bomberman II,B00004SVNP,62.99,77,Puzzle,39854000188,Hudson Soft,5/1/92
8636,Bonk's Adventure,B00004SVNQ,334.99,400,Action & Adventure,39854000393,Hudson Soft,12/1/94
12112,Boulder Dash,B000H3EW7W,4.99,8,Action & Adventure,9119313490,JVC,6/1/90
